City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
646,Paka,MY,85.6,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
650,Lazaro Cardenas,MX,76.03,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
656,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
658,Abonnema,NG,77.31,light rain,4.7084,6.7931,Corper's Lodge Obonoma
660,Dingle,PH,88.92,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
666,Diffa,NE,83.86,few clouds,13.3154,12.6113,ProDAF/Diffa
677,Sibu,MY,88.11,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
678,Gewane,ET,84.07,overcast clouds,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
680,Xiantao,CN,80.53,broken clouds,30.3833,113.4,City Convenient Chain Hotel
682,Mecca,SA,77.58,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
684,Sabang,ID,82.44,overcast clouds,5.8933,95.3214,Hotel Citra
685,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
689,Pecos,US,87.87,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
691,Labuan,MY,88.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
693,Marzuq,YE,77.52,few clouds,14.4,46.4667,
702,Galesong,ID,87.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
704,Totness,SR,76.57,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
706,Le Port,RE,77.25,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
710,Marsh Harbour,BS,79.5,few clouds,26.5412,-77.0636,Abaco Beach Resort
