City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,Sambava,MG,-14.2667,50.1667,73.38,88,5,7.87,clear sky
204,Abnub,EG,27.2696,31.1511,80.69,18,19,8.32,few clouds
205,Guayaramerin,BO,-10.8368,-65.3614,77.5,73,80,2.77,broken clouds
206,Ostrovnoy,RU,68.0531,39.5131,29.32,77,97,16.53,overcast clouds
207,Bull Savanna,JM,17.8868,-77.5902,74.93,84,1,8.5,clear sky
208,Norfolk,US,42.1668,-71.2495,45.88,59,100,1.01,overcast clouds
209,Constitucion,CL,-35.3333,-72.4167,53.31,94,100,5.21,overcast clouds
210,Isetskoye,RU,56.4858,65.3226,52.72,48,65,4.12,broken clouds
211,Maceio,BR,-9.6658,-35.7353,74.64,88,20,5.75,few clouds
212,Flinders,AU,-34.5833,150.8552,64.06,80,98,5.99,light rain
213,Kaolinovo,BG,43.6167,27.1167,41.94,79,41,5.26,scattered clouds
214,Neya,RU,58.2972,43.8681,46.09,95,100,7.07,light rain
215,Abu Zabad,SD,12.35,29.25,81.93,8,100,8.75,overcast clouds
216,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,78.71,40,100,7.27,overcast clouds
217,Sao Filipe,CV,14.8961,-24.4956,71.38,80,1,6.82,clear sky
218,Coruripe,BR,-10.1256,-36.1756,75.42,80,9,8.39,clear sky
219,Kununurra,AU,-15.7667,128.7333,82.38,23,2,11.5,clear sky
220,Lashio,MM,22.9333,97.75,68.43,96,100,0.76,overcast clouds
221,Bonavista,CA,48.6499,-53.1147,32.38,72,64,3.31,broken clouds
222,Lardos,GR,36.0942,28.0157,63.95,73,91,5.55,overcast clouds
223,Nadym,RU,65.5333,72.5167,35.69,100,100,10.09,overcast clouds
224,Hutchinson,US,38.0608,-97.9298,78.04,74,0,6.91,clear sky
225,Tambovka,RU,50.0969,128.0489,70.74,23,54,11.88,broken clouds
226,Inongo,CD,-1.95,18.2667,71.8,96,100,2.21,overcast clouds
227,Masunga,BW,-20.6246,27.4488,57.87,40,0,3.0,clear sky
228,Kamaishi,JP,39.2667,141.8833,57.92,49,97,9.53,overcast clouds
229,Sokoni,TZ,-6.4333,39.55,81.16,76,100,15.26,overcast clouds
230,Macapa,BR,0.0389,-51.0664,78.78,94,40,2.3,scattered clouds
231,Synya,RU,65.3718,58.0387,44.15,83,81,10.74,broken clouds
232,North Bend,US,43.4065,-124.2243,49.24,93,100,13.8,overcast clouds
233,Hami,CN,42.8,93.45,74.08,27,2,5.35,clear sky
234,Tuatapere,NZ,-46.1333,167.6833,53.44,90,100,6.62,overcast clouds
235,Cabedelo,BR,-6.9811,-34.8339,75.87,80,100,14.16,overcast clouds
236,Manta,EC,-0.95,-80.7333,74.98,83,75,6.91,broken clouds
237,Luderitz,NA,-26.6481,15.1594,60.21,40,51,6.82,broken clouds
238,Flagstaff,US,35.1981,-111.6513,63.1,22,0,27.63,clear sky
239,Lavrentiya,RU,65.5833,-171.0,33.85,90,100,7.38,overcast clouds
240,Alice Springs,AU,-23.7,133.8833,56.75,35,100,2.3,overcast clouds
241,Nerchinskiy Zavod,RU,51.3088,119.61,67.03,16,70,21.34,broken clouds
242,Pitimbu,BR,-7.4706,-34.8086,75.79,82,97,11.59,overcast clouds
243,Marawi,PH,7.9986,124.2928,79.39,72,100,1.81,overcast clouds
244,Pisco,PE,-13.7,-76.2167,65.01,88,4,2.3,clear sky
245,Victoria,HK,22.2855,114.1577,78.96,86,100,1.01,overcast clouds
246,Motygino,RU,58.1831,94.7592,33.31,52,96,9.55,overcast clouds
247,Cabo San Lucas,MX,22.8909,-109.9124,80.91,41,20,8.05,few clouds
248,Skelleftea,SE,64.7507,20.9528,39.99,54,75,5.75,broken clouds
249,Muroto,JP,33.2833,134.15,60.51,82,100,14.92,overcast clouds
250,Lebu,CL,-37.6167,-73.65,55.71,97,100,2.93,overcast clouds
251,Parabel,RU,58.6978,81.4825,42.73,45,25,2.95,scattered clouds
252,Sola,VU,-13.8833,167.55,80.47,75,29,24.61,scattered clouds
253,Berlevag,NO,70.8578,29.0864,31.95,86,75,18.41,broken clouds
254,Saint-Joseph,RE,-21.3667,55.6167,70.18,77,18,6.82,few clouds
255,Murray Bridge,AU,-35.1167,139.2667,64.13,43,64,7.05,broken clouds
256,Vila Franca Do Campo,PT,37.7167,-25.4333,62.2,83,98,1.97,overcast clouds
257,Jinchang,CN,38.4953,102.1739,66.65,26,4,2.64,clear sky
258,Pemangkat,ID,1.1667,108.9667,80.96,78,100,7.4,light rain
259,Sovetskaya Gavan,RU,48.9723,140.2878,45.05,62,100,8.14,overcast clouds
260,Marrakesh,MA,31.6315,-8.0083,75.27,29,0,3.44,clear sky
261,Santa Maria,BR,-29.6842,-53.8069,55.98,89,2,4.25,clear sky
