City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Bluff,NZ,2022-05-07 04:18:51,-46.6,168.3333,60.8,70,100,12.77
165,Viedma,AR,2022-05-07 04:18:52,-40.8135,-62.9967,57.54,49,77,9.71
166,Suez,EG,2022-05-07 04:18:52,29.9737,32.5263,60.49,60,1,5.28
167,Jaltepec,MX,2022-05-07 04:18:53,19.7333,-98.6333,57.61,73,95,5.48
168,Nioro,GM,2022-05-07 04:18:53,13.35,-15.75,81.12,29,13,3.4
169,Harper,LR,2022-05-07 04:18:53,4.375,-7.7169,79.61,87,97,7.54
170,Geraldton,AU,2022-05-07 04:14:05,-28.7667,114.6,81.01,26,0,10.36
171,Pisco,PE,2022-05-07 04:18:54,-13.7,-76.2167,62.65,88,0,0.0
172,Bathsheba,BB,2022-05-07 04:18:54,13.2167,-59.5167,79.41,83,40,12.66
173,Katangli,RU,2022-05-07 04:18:55,51.7102,143.2326,39.38,89,25,9.4
174,Hithadhoo,MV,2022-05-07 04:18:55,-0.6,73.0833,83.77,76,50,13.96
175,East London,ZA,2022-05-07 04:18:55,-33.0153,27.9116,65.34,77,20,10.36
176,Mana,GF,2022-05-07 04:18:56,5.6592,-53.7767,75.51,94,100,5.23
177,Hofn,IS,2022-05-07 04:18:56,64.2539,-15.2082,39.9,51,100,5.95
178,College,US,2022-05-07 04:14:25,64.8569,-147.8028,50.07,81,75,4.61
179,Noyabrsk,RU,2022-05-07 04:14:09,63.1994,75.4507,19.35,88,100,27.87
180,Riyadh,SA,2022-05-07 04:15:13,24.6877,46.7219,80.74,30,41,7.23
181,Aberdeen,GB,2022-05-07 04:19:57,57.1437,-2.0981,45.66,86,85,8.05
182,Ballina,AU,2022-05-07 04:19:57,-28.8667,153.5667,69.76,84,100,10.36
183,Morondava,MG,2022-05-07 04:19:58,-20.2833,44.2833,73.24,83,94,4.41
184,Saldanha,ZA,2022-05-07 04:19:58,-33.0117,17.9442,59.13,73,94,19.91
185,Simimbaan,PH,2022-05-07 04:19:58,17.1157,121.5824,91.26,49,76,5.23
